City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sandnessjoen,66.0217,12.6316,288.44,55,100,4.92,NO,1716669397
1,sirre,8.3167,39.4833,292.71,62,18,3.08,ET,1716669560
2,sur,22.5667,59.5289,304.01,43,51,4.69,OM,1716669361
3,grytviken,-54.2811,-36.5092,265.11,74,91,4.35,GS,1716669582
4,punta arenas,-53.15,-70.9167,277.21,87,40,3.6,CL,1716669592
5,gadzhiyevo,69.2551,33.3362,276.14,75,100,6.35,RU,1716669603
6,isafjordur,66.0755,-23.124,283.35,67,11,1.51,IS,1716669613
7,bilibino,68.0546,166.4372,278.15,70,17,0.72,RU,1716669624
8,kondoa,-4.9,35.7833,291.59,74,99,2.45,TZ,1716669634
9,haiku-pauwela,20.9219,-156.3051,300.49,66,20,7.72,US,1716669644
10,bethel,41.3712,-73.414,300.57,52,0,3.09,US,1716669411
11,hawaiian paradise park,19.5933,-154.9731,298.0,88,100,2.06,US,1716669668
12,brookings,44.3114,-96.7984,292.07,73,0,4.12,US,1716669679
13,adamstown,-25.066,-130.1015,294.31,68,13,5.85,PN,1716669690
14,port-aux-francais,-49.35,70.2167,277.11,78,30,17.89,TF,1716669700
15,west bay,19.3667,-81.4167,304.19,74,20,4.63,KY,1716669710
16,valparaiso,-33.0393,-71.6273,288.23,80,100,6.17,CL,1716669721
17,remire-montjoly,4.9167,-52.2667,299.17,94,0,1.03,GF,1716669732
18,port elizabeth,-33.918,25.5701,289.44,95,34,2.24,ZA,1716669598
19,puerto ayora,-0.7393,-90.3518,300.13,76,82,3.64,EC,1716669618
20,ushuaia,-54.8,-68.3,273.96,93,100,1.03,AR,1716669548
21,urangan,-25.3,152.9,289.93,93,15,1.79,AU,1716669773
22,college,64.8569,-147.8028,282.14,88,100,4.63,US,1716669783
23,wailua homesteads,22.0669,-159.378,300.39,78,100,6.69,US,1716669794
24,kulhudhuffushi,6.6221,73.07,302.27,80,100,7.01,MV,1716669804
25,blackmans bay,-43.0167,147.3167,276.22,95,19,0.45,AU,1716669815
26,utrik,11.2278,169.8474,300.79,83,63,7.29,MH,1716669825
27,nemuro,43.3236,145.575,280.9,80,100,6.24,JP,1716669835
28,berrouaghia,36.1352,2.9109,292.91,49,6,2.24,DZ,1716669846
29,port lincoln,-34.7333,135.8667,286.77,61,4,3.22,AU,1716669856
30,bel ombre,-4.6167,55.4167,302.06,79,20,3.09,SC,1716669866
31,talnakh,69.4865,88.3972,271.04,93,100,8.16,RU,1716669876
32,lihue,21.9789,-159.3672,300.73,72,100,6.69,US,1716669886
33,edinburgh of the seven seas,-37.0676,-12.3116,289.68,92,88,12.71,SH,1716669896
34,longyearbyen,78.2186,15.6401,273.06,80,75,10.8,SJ,1716669889
35,lethbridge,49.7,-112.8186,290.21,36,75,7.72,CA,1716669695
36,loreto,22.2667,-101.9667,306.84,11,0,1.91,MX,1716669926
37,iqaluit,63.7506,-68.5145,274.0,69,75,5.14,CA,1716669883
38,al khafji,28.4391,48.4913,304.32,48,3,2.5,SA,1716669947
39,saraburi,14.6084,100.9682,302.06,85,85,2.62,TH,1716669957
40,hengshui,37.7322,115.7011,287.84,89,85,2.31,CN,1716669968
41,catmon,10.7167,124.0,300.73,88,84,3.08,PH,1716669978
42,muana,-1.5283,-49.2167,298.72,93,100,1.8,BR,1716669988
43,kristiansund,63.1115,7.732,292.51,68,20,1.54,NO,1716669998
44,jamestown,42.097,-79.2353,293.72,93,75,3.09,US,1716669903
45,albany,42.6001,-73.9662,300.75,50,100,0.34,US,1716669882
46,la ronge,55.1001,-105.2842,285.29,43,75,3.6,CA,1716670029
47,margaret river,-33.95,115.0667,289.87,70,61,3.94,AU,1716670044
48,invercargill,-46.4,168.35,280.38,73,100,10.28,NZ,1716670054
49,papatowai,-46.5619,169.4708,279.2,76,97,10.81,NZ,1716670065
50,waitangi,-43.9535,-176.5597,280.83,83,98,7.6,NZ,1716670075
51,san patricio,28.017,-97.5169,308.8,46,13,9.38,US,1716670085
52,galesong,-5.3166,119.3661,299.16,78,6,3.46,ID,1716670095
53,hermanus,-34.4187,19.2345,285.26,90,20,0.56,ZA,1716670105
54,hamilton,39.1834,-84.5333,301.63,63,40,2.57,US,1716670115
55,burnie,-41.0667,145.9167,276.73,81,46,3.08,AU,1716670125
56,nuea khlong,8.0714,98.9993,299.23,100,20,1.03,TH,1716670140
57,mil'kovo,55.6078,37.7956,288.34,72,5,2.94,RU,1716670151
58,olonkinbyen,70.9221,-8.7187,274.72,97,100,5.71,SJ,1716670161
59,cidreira,-30.1811,-50.2056,285.87,77,92,5.09,BR,1716670171
60,hillsboro,45.5229,-122.9898,290.19,59,100,3.13,US,1716670181
61,katsuren-haebaru,26.3369,127.8719,299.36,95,100,2.57,JP,1716670192
62,touros,-5.1989,-35.4608,298.19,91,51,5.1,BR,1716670203
63,waddan,29.1614,16.139,301.64,37,86,3.42,LY,1716670213
64,victoriaville,46.0501,-71.9658,291.21,55,75,1.63,CA,1716670223
65,vilyuchinsk,52.9306,158.4028,279.3,92,100,7.91,RU,1716670233
66,urjala,61.0833,23.5333,289.63,69,94,1.43,FI,1716670243
67,xinyuan,37.3,99.0,279.98,77,100,1.02,CN,1716670253
68,viedma,-40.8135,-62.9967,279.47,60,9,3.25,AR,1716670025
69,port mathurin,-19.6833,63.4167,298.28,78,81,8.98,MU,1716670277
70,bena,11.2844,5.9347,296.49,77,100,0.51,NG,1716670287
